METHOD  PATH                             OPERATION                                     MODULE      SCOPE   GUARDS                                                                  MIDDLEWARE            HANDLER           SOURCE
GET     /v1/books                        books-get-v1-books                            books       -       authenticated, permission:books.book.read                               RequireClientVersion  h.listBooks       internal/modules/books/delivery/routes.go:35
POST    /v1/books                        books-post-v1-books                           books       -       authenticated, permission:books.book.write, rate_limit:30/1m0s          RequireClientVersion  h.createBook      internal/modules/books/delivery/routes.go:32
DELETE  /v1/books                        books-delete-v1-books                         books       -       authenticated, permission:books.book.write, recent_reauth               RequireClientVersion  h.emptyShelf      internal/modules/books/delivery/routes.go:47
GET     /v1/books/export                 books-get-v1-books-export                     books       -       authenticated, permission:books.book.read, active_subscription          RequireClientVersion  h.exportBooks     internal/modules/books/delivery/routes.go:54
GET     /v1/books/{id}                   books-get-v1-books-by-id                      books       -       authenticated, permission:books.book.read                               RequireClientVersion  h.getBook         internal/modules/books/delivery/routes.go:37
PATCH   /v1/books/{id}                   books-patch-v1-books-by-id                    books       -       authenticated, permission:books.book.write                              RequireClientVersion  h.updateBook      internal/modules/books/delivery/routes.go:39
DELETE  /v1/books/{id}                   books-delete-v1-books-by-id                   books       -       authenticated, permission:books.book.write                              RequireClientVersion  h.deleteBook      internal/modules/books/delivery/routes.go:41
PUT     /v1/phone                        phonelogin-put-v1-phone                       phonelogin  -       authenticated, permission:phonelogin.phone.write, rate_limit:5/1h0m0s   -                     h.setPhone        internal/modules/phonelogin/delivery/routes.go:29
POST    /v1/phone-sign-in                phonelogin-post-v1-phone-sign-in              phonelogin  public  public, rate_limit:20/1h0m0s                                            -                     h.signIn          internal/modules/phonelogin/delivery/routes.go:42
POST    /v1/phone-sign-in/code           phonelogin-post-v1-phone-sign-in-code         phonelogin  public  public, rate_limit:10/1h0m0s                                            -                     h.sendSignInCode  internal/modules/phonelogin/delivery/routes.go:37
POST    /v1/phone/confirm                phonelogin-post-v1-phone-confirm              phonelogin  -       authenticated, permission:phonelogin.phone.write, rate_limit:10/1h0m0s  -                     h.confirmPhone    internal/modules/phonelogin/delivery/routes.go:32
GET     /v1/profile                      profiles-get-v1-profile                       profiles    -       authenticated, permission:profiles.profile.read                         -                     h.getProfile      internal/modules/profiles/delivery/routes.go:20
PUT     /v1/profile                      profiles-put-v1-profile                       profiles    -       authenticated, permission:profiles.profile.write                        -                     h.updateProfile   internal/modules/profiles/delivery/routes.go:24
GET     /v1/purchases                    partners-get-v1-purchases                     partners    -       authenticated, permission:partners.purchase.read                        -                     h.listPurchases   internal/modules/partners/delivery/routes.go:40
GET     /v1/shelves                      shelves-list                                  shelves     user    authenticated, permission:shelves.shelf.read                            -                     h.listShelves     internal/modules/shelves/delivery/routes.go:30
POST    /v1/shelves                      shelves-create                                shelves     user    authenticated, permission:shelves.shelf.write                           -                     h.createShelf     internal/modules/shelves/delivery/routes.go:26
GET     /v1/shelves/{id}                 shelves-get                                   shelves     user    authenticated, permission:shelves.shelf.read                            -                     h.getShelf        internal/modules/shelves/delivery/routes.go:35
PATCH   /v1/shelves/{id}                 shelves-update                                shelves     user    authenticated, permission:shelves.shelf.write                           -                     h.updateShelf     internal/modules/shelves/delivery/routes.go:39
DELETE  /v1/shelves/{id}                 shelves-delete                                shelves     user    authenticated, permission:shelves.shelf.write                           -                     h.deleteShelf     internal/modules/shelves/delivery/routes.go:44
POST    /v1/webhooks/partners/purchases  partners-post-v1-webhooks-partners-purchases  partners    public  public, webhook, rate_limit:600/1m0s                                    -                     h.purchase        internal/modules/partners/delivery/routes.go:33

20 routes, 3 public
